Regional Indicator,Ladder Score,GDP,Social Support,Life Expectancy,Freedom Make Life Choices,Generosity,Perceptions of Corruption,Dystopia Residual,Country,Density
Oceana,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,2.191,Georgia,0.020134228
Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,2.242,Algeria,0.036912752
Oceana,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,1.813,Ukraine,0.030201342
Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,2.429,Iraq,0.020134228
Africa,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,2.201,Gabon,0.011744966
Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,3.133,Burkina Faso,0.015100671
Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,2.148,Cambodia,0.016778523
Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,2.783,Mozambique,0.018456376
Africa,4.759,8.533,0.74,50.102,0.737,0.037,0.878,2.736,Nigeria,0.005033557
Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,3.016,Mali,0.006711409
Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.714,1.823,Iran,0.033557047
Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,2.596,Uganda,0.026845638
Africa,4.625,7.288,0.72,56.498,0.735,0.05,0.85,2.857,Liberia,0.021812081
Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,2.18,Kenya,0.020134228
Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,2.138,Tunisia,0.026845638
Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,1.736,Lebanon,0.025167785
Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,2.068,Namibia,0.013422819
Africa,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,2.131,Palestinian Territories,0.013422819
Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.66,1.407,Myanmar,0.018456376
Africa,4.395,9.182,0.767,67,0.755,-0.167,0.705,1.553,Jordan,0.020134228
Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,3.209,Chad,0.003355705
Asia,4.325,9.47,0.827,67.299,0.841,0.079,0.863,1.075,Sri Lanka,0.018456376
Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,2.155,Swaziland,0.008389262
Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,2.61,Comoros,0.021812081
Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,1.648,Egypt,0.015100671
Africa,4.275,7.694,0.764,59,0.752,0.082,0.761,2.089,Ethiopia,0.016778523
Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,2.069,Mauritania,0.018456376
Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,2.62,Madagascar,0.013422819
Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,2.806,Togo,0.018456376
Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,1.975,Zambia,0.021812081
Africa,3.849,7.434,0.63,51.651,0.717,0.084,0.866,2.396,Sierra Leone,0.006711409
Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,1.405,India,0.011744966
Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,2.876,Burundi,0.005033557
Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,1.776,Yemen,0.016778523
Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,1.263,Tanzania,0.013422819
America,3.615,7.477,0.54,55.7,0.593,0.422,0.721,2.06,Haiti,0.011744966
Africa,3.6,6.958,0.537,57.948,0.78,0.038,0.729,2.19,Malawi,0.010067114
Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,1.8,Lesotho,0.003355705
Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,0.648,Botswana,0.003355705
Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.167,1.095,Rwanda,0.003355705
Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,1.205,Zimbabwe,0.008389262
Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1.895,Afghanistan,0.001677852
